Kernel version orig;Kernel version stripped;file;generated elf;identified init;config extracted;kernel symbols;architecture;endianness;
Linux version 3.10.108 (mfy@ubuntu) (gcc version 4.6.3 (Buildroot 2012.11.1) ) #66 SMP Wed Dec 27 23:05:23 +08 2023;3.10.108;/logs/firmware/patool_extraction/M4_4.0_en_1.1.2_Build_20231227_Rel.84005/M4_4.0_en_1.1.2_Build_20231227_Rel.84005.bin_unblob_extracted/M4_4.0_en_1.1.2_Build_20231227_Rel.84005.bin_extract/8276-1984825.lzma_extract/lzma.uncompressed;/logs/firmware/patool_extraction/M4_4.0_en_1.1.2_Build_20231227_Rel.84005/M4_4.0_en_1.1.2_Build_20231227_Rel.84005.bin_unblob_extracted/M4_4.0_en_1.1.2_Build_20231227_Rel.84005.bin_extract/8276-1984825.lzma_extract/lzma.uncompressed.elf;NA;/logs/s24_kernel_bin_identifier/kernel_config_extracted_lzma.uncompressed.log;30523;MIPS;EL;
Linux version 3.10.108 (mfy@ubuntu) (gcc version 4.6.3 (Buildroot 2012.11.1) ) #66 SMP Wed Dec 27 23:05:23 +08 2023;3.10.108;/logs/firmware/patool_extraction/M4_4.0_en_1.1.2_Build_20231227_Rel.84005/M4_4.0_en_1.1.2_Build_20231227_Rel.84005.bin_unblob_extracted/M4_4.0_en_1.1.2_Build_20231227_Rel.84005.bin_extract/8276-1984825.lzma_extract/lzma.uncompressed_extract/0-4154056.unknown;NA;NA;;0;mipsle;EL;
