RELRO;STACK CANARY;NX;PIE;RPATH;RUNPATH;Symbols;FORTIFY;Fortified;Fortifiable;FILE
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;Symbols;No;0;16;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe-server
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;12;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/xtables-multi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/reboot
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/iwcontrol
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;Symbols;No;0;10;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe-relay
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe-sniff
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/netmgr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/fw_upgrade
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/hnap_push_service
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/makeDevUid
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/getpreviewimg
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/hnap_tool_wifi_sitesurvey
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/sysmgr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rscam_uvc
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ipfind
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/twinkling
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/upnp_igd
No RELRO;No Canary found;NX disabled;No PIE;RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/openssl
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ntpclient
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/makeBonjourFile
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/bundle_restore
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtkmib
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/msger
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mDNSClientPosix
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;7;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/userconfig
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/wanip_detect
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mdb
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;17;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtsp/rtspd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ddns
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/dlinkpsk
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/hwmon
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/upnp
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/factory_reset
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/schboot
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mDNSResponderPosix
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/httpd-manager
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mkdosfs
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/cfg
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/llmnr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;15;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/pppd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;16;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtmp/crtmpserver
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/set_passwd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/elog
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/eventd
