binary;function;function count;common linux file;networking;
/web/cgi-bin/config/user_list.cgi (-rwxr-xr-x root root);strcpy;3;false;no;
/web/cgi-bin/config/notify.cgi (-rwxr-xr-x root root);fprintf;14;false;no;
/web/cgi-bin/config/firmwareupgrade.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/config/video.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/config/mic.cgi (-rwxr-xr-x root root);system;5;false;no;
/web/cgi-bin/common/info.cgi (-rwxr-xr-x root root);fprintf;18;false;no;
/web/cgi-bin/config/firmwareupgrade.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/users/env_sound_lv.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/users/verify.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);fprintf;29;false;no;
/web/cgi-bin/localrecording/autodiscover.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/localrecording/queryconf.cgi (-rwxr-xr-x root root);fprintf;8;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);fprintf;28;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);popen;2;false;no;
/web/cgi-bin/localrecording/autodiscover.cgi (-rwxr-xr-x root root);popen;2;false;no;
/web/cgi-bin/greece/rhea (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/greece/zeus (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);fprintf;79;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);printf;10;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);popen;2;false;no;
/web/cgi-bin/localrecording/autodiscover.cgi (-rwxr-xr-x root root);printf;4;false;no;
/web/cgi-bin/cgi/ad.cgi (-rwxr-xr-x root root);fprintf;7;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);printf;8;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);printf;8;false;no;
/web/cgi-bin/localrecording/autodiscover.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/whardfactorydefault.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/tools.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/cgi/ad.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/serverreport.cgi (-rwxr-xr-x root root);fprintf;20;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);sprintf;93;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/localrecording/setconf.cgi (-rwxr-xr-x root root);strcpy;5;false;no;
/web/cgi-bin/cgi/eventrecording.cgi (-rwxr-xr-x root root);sprintf;6;false;no;
/web/cgi-bin/cgi/tools.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/email.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);strcat;1;false;no;
/web/cgi-bin/localrecording/unbindsetting.cgi (-rwxr-xr-x root root);strcpy;2;false;no;
/web/cgi-bin/cgi/network.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/cgi/wad.cgi (-rwxr-xr-x root root);fprintf;7;false;no;
/web/cgi-bin/cgi/eventrecording.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/wifichannel.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/cgi/serverSetting.cgi (-rwxr-xr-x root root);system;7;false;no;
/web/cgi-bin/cgi/tools.cgi (-rwxr-xr-x root root);system;7;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);strcpy;60;false;no;
/web/cgi-bin/cgi/eventrecording.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/wifichannel.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/wad.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/camera.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/hnap/hnap_service (-rwxr-xr-x root root);system;70;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);fprintf;427;false;no;
/web/cgi-bin/cgi/finish.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/cgi/motion.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/cgi/wpwdgrp.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/cgi/scheduleReboot.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);sprintf;10;false;no;
/web/cgi-bin/cgi/dayMode.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/update.cgi (-rwxr-xr-x root root);fprintf;5;false;no;
/web/cgi-bin/cgi/motion.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/wpwdgrp.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/cgi/scheduleReboot.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/audiovideo.cgi (-rwxr-xr-x root root);system;10;false;no;
/web/cgi-bin/cgi/RTS5826.cgi (-rwxr-xr-x root root);popen;1;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);strcat;4;false;no;
/web/cgi-bin/cgi/dayMode.cgi (-rwxr-xr-x root root);system;13;false;no;
/web/cgi-bin/cgi/update.cgi (-rwxr-xr-x root root);printf;1;false;no;
/web/cgi-bin/cgi/ddns.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/scheduleReboot.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/wireless.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/param.cgi (-rwxr-xr-x root root);system;66;false;no;
/web/cgi-bin/cgi/viewer.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/cgi/update.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);sprintf;6;false;no;
/web/cgi-bin/cgi/restore.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/cgi/scheduleReboot.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/query/query.cgi (-rwxr-xr-x root root);fprintf;6;false;no;
/web/cgi-bin/cgi/unittest.cgi (-rwxr-xr-x root root);fprintf;7;false;no;
/web/cgi-bin/cgi/update.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);fprintf;20;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/restore.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);fprintf;18;false;no;
/web/cgi-bin/cgi/wdatetime.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/unittest.cgi (-rwxr-xr-x root root);popen;1;false;no;
/web/cgi-bin/cgi/testserv.cgi (-rwxr-xr-x root root);fprintf;22;false;no;
/web/cgi-bin/cgi/smartwizard.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);sprintf;15;false;no;
/web/cgi-bin/cgi/eventsnapshot.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);sprintf;15;false;no;
/web/cgi-bin/cgi/factorydefault.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/wdatetime.cgi (-rwxr-xr-x root root);system;8;false;no;
/web/cgi-bin/cgi/unittest.cgi (-rwxr-xr-x root root);sprintf;2;false;no;
/web/cgi-bin/cgi/hardfactorydefault.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/cgi/testserv.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/cgi/smartwizard.cgi (-rwxr-xr-x root root);system;14;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/firmwareupgrade.cgi (-rwxr-xr-x root root);fprintf;5;false;no;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/cgi/unittest.cgi (-rwxr-xr-x root root);strcat;1;false;no;
/web/cgi-bin/cgi/ftp.cgi (-rwxr-xr-x root root);system;2;false;no;
/bin/curl (-rwxr-xr-x root root);printf;6;true;no;
/web/cgi-bin/cgi/testserv.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/admin/videoclip.cgi (-rwxr-xr-x root root);system;2;false;no;
/bin/wscd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/stunnel (-rwxr-xr-x root root);fprintf;1;false;yes;
/web/cgi-bin/cgi/admin/adv_snapshot_cont.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/cgi/firmwareupgrade.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/cgi/unittest.cgi (-rwxr-xr-x root root);system;8;false;no;
/bin/curl (-rwxr-xr-x root root);strcpy;4;true;no;
/bin/wscd (-rwxr-xr-x root root);printf;15;false;yes;
/bin/stunnel (-rwxr-xr-x root root);strcpy;6;false;yes;
/bin/wscd (-rwxr-xr-x root root);sprintf;115;false;yes;
/bin/wscd (-rwxr-xr-x root root);strcat;8;false;yes;
/bin/wscd (-rwxr-xr-x root root);strcpy;93;false;yes;
/bin/wscd (-rwxr-xr-x root root);system;18;false;yes;
