binary;function;function count;common linux file;networking;
/usr/sbin/userconfig (-rwxr-xr-x root root);printf;17;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);printf;7;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/ddns (-rwxr-xr-x root root);sprintf;3;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);sprintf;24;false;no;
/usr/sbin/dlinkpsk (-rwxr-xr-x root root);sprintf;3;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);printf;31;false;yes;
/usr/sbin/userconfig (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);system;3;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);strcpy;5;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);printf;10;false;yes;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);sprintf;26;false;yes;
/usr/sbin/mdb (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);printf;42;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);sprintf;49;false;yes;
/usr/sbin/mdb (-rwxr-xr-x root root);strcpy;8;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);strcat;3;false;yes;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);fprintf;35;false;yes;
/usr/sbin/factory_reset (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);system;2;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);system;20;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);strcpy;2;false;yes;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);strcpy;18;false;yes;
/usr/sbin/factory_reset (-rwxr-xr-x root root);system;2;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);system;11;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);sprintf;2;false;yes;
/usr/sbin/hwmon (-rwxr-xr-x root root);system;9;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);fprintf;5;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);fprintf;39;false;yes;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/pppd (-rwxr-xr-x root root);fprintf;9;true;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);fprintf;5;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);printf;38;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);fprintf;5;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);printf;6;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);fprintf;65;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);printf;3;true;no;
/usr/sbin/rtmp/crtmpserver (-rwxr-xr-x root root);fprintf;12;false;yes;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/md5sum (-rwxr-xr-x root root);printf;1;true;no;
/usr/sbin/cfg (-rwxr-xr-x root root);sprintf;2;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);printf;2;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);sprintf;2;false;yes;
/usr/sbin/ddp (-rwxr-xr-x root root);fprintf;181;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);sprintf;1;true;no;
/usr/sbin/cfg (-rwxr-xr-x root root);strcat;2;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);sprintf;31;false;yes;
/usr/lib/libMsgctrl.so (-rw-r--r-- root root);strcpy;4;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);sprintf;96;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);printf;1;false;no;
/usr/sbin/rtmp/crtmpserver (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/lib/libProfile.so (-rw-r--r-- root root);fprintf;2;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);strcpy;3;true;no;
/usr/lib/libFVmtd.so (-rw-r--r-- root root);fprintf;7;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);strcat;8;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);strcpy;29;false;yes;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/lib/libFVbase64.so (-rw-r--r-- root root);strcpy;2;false;no;
/usr/lib/libRingBuf.so (-rw-r--r-- root root);fprintf;8;false;no;
/usr/lib/libProfile.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/lib/libFVmtd.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);system;32;false;yes;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);strcpy;7;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);strcpy;60;false;no;
/usr/sbin/rtmp/crtmpserver (-rwxr-xr-x root root);popen;8;false;yes;
/usr/lib/libcrypto.so.1.0.0 (-rwxr-xr-x root root);fprintf;23;true;yes;
/usr/lib/libRingBuf.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/libasp.so.0 (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/lib/libFVmtd.so (-rw-r--r-- root root);system;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);system;4;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);system;19;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);printf;7;false;no;
/usr/lib/libcrypto.so.1.0.0 (-rwxr-xr-x root root);printf;1;true;yes;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libssl.so.1.0.0 (-rwxr-xr-x root root);fprintf;5;true;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);fprintf;3;false;no;
/usr/sbin/rtmp/crtmpserver (-rwxr-xr-x root root);sprintf;15;false;yes;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);fprintf;25;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);sprintf;7;false;no;
/usr/lib/libcfgbackup.so (-rw-r--r-- root root);sprintf;2;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);printf;10;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);sprintf;6;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);fprintf;12;false;no;
/usr/lib/libssl.so.1.0.0 (-rwxr-xr-x root root);strcpy;1;true;no;
/usr/lib/libcrypto.so.1.0.0 (-rwxr-xr-x root root);sprintf;1;true;yes;
